"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2023","549.8888","551.3358","554.1457","548.7228","","-0.35%"
"07/07/2023","551.8415","544.1369","552.2330","542.5798","","1.42%"
"07/06/2023","544.1370","545.7594","546.9993","537.5668","","-0.30%"
"07/05/2023","545.7594","536.6595","547.7625","536.6595","","1.70%"
"07/03/2023","536.6595","540.4607","545.4278","536.3137","","-0.70%"
"06/30/2023","540.4607","535.5468","544.1768","534.8188","","0.92%"
"06/29/2023","535.5468","535.3771","538.4095","532.0575","","0.03%"
"06/28/2023","535.3771","533.7131","536.8530","527.9522","","0.31%"
"06/27/2023","533.7131","542.5435","546.0946","533.1615","","-1.65%"
"06/26/2023","542.6405","541.5641","547.1440","540.8403","","0.20%"
"06/23/2023","541.5642","547.0375","547.0375","534.7529","","-1.00%"
"06/22/2023","547.0376","559.9219","560.0908","544.5924","","-2.30%"
"06/21/2023","559.9219","550.6139","560.1093","549.6737","","1.69%"
"06/20/2023","550.6139","557.2189","557.2189","545.7570","","-1.19%"
"06/16/2023","557.2190","547.9683","557.4136","547.6590","","1.69%"
"06/15/2023","547.9684","533.3505","549.2031","530.9840","","2.74%"
"06/14/2023","533.3505","536.6394","541.1748","532.8233","","-0.61%"
"06/13/2023","536.6394","525.7828","538.3474","525.6176","","1.75%"
"06/12/2023","527.3916","538.0125","538.0125","525.1689","","-2.30%"
"06/09/2023","539.8088","543.7259","546.0210","539.6798","","-1.04%"
"06/08/2023","545.5062","547.2640","550.8444","535.8960","","-0.64%"
"06/07/2023","549.0141","546.6169","551.8905","543.2181","","0.15%"
"06/06/2023","548.1971","547.6926","549.8913","540.4746","","0.09%"
"06/05/2023","547.6926","545.5785","553.9201","545.5785","","0.39%"
"06/02/2023","545.5785","537.4065","546.4887","536.4104","","1.52%"
"06/01/2023","537.4066","528.2247","540.8286","526.4718","","1.74%"
"05/31/2023","528.2247","532.5702","533.0076","521.6278","","-0.82%"
"05/30/2023","532.5702","546.8587","548.5576","530.7365","","-2.61%"
"05/26/2023","546.8587","541.4254","547.6781","539.8400","","1.00%"
"05/25/2023","541.4254","551.2490","552.1942","537.4186","","-1.78%"
"05/24/2023","551.2491","546.4748","553.3673","546.4456","","0.87%"
"05/23/2023","546.4748","544.4413","549.8206","541.4987","","0.37%"
"05/22/2023","544.4413","543.4167","545.7079","537.8809","","0.19%"
"05/19/2023","543.4167","544.9976","553.4628","541.8442","","-0.29%"
"05/18/2023","544.9977","549.2696","549.4007","542.1319","","-0.78%"
"05/17/2023","549.2696","542.6670","550.5122","539.4203","","1.22%"
"05/16/2023","542.6670","546.3794","549.1467","541.2399","","-0.68%"
"05/15/2023","546.3794","538.9058","548.5214","535.9719","","1.39%"
"05/12/2023","538.9058","540.7028","544.6337","537.4386","","-0.33%"
"05/11/2023","540.7029","550.5697","553.4670","540.0221","","-1.78%"
"05/10/2023","550.5183","554.2420","555.2425","547.8860","","-0.66%"
"05/09/2023","554.1743","553.6067","554.4394","544.4785","","0.12%"
"05/08/2023","553.5158","545.6809","555.4543","544.7623","","1.45%"
"05/05/2023","545.5896","532.8850","547.0830","532.4519","","2.41%"
"05/04/2023","532.7721","532.0661","537.5412","527.9724","","0.13%"
"05/03/2023","532.0662","543.2692","543.5036","529.1777","","-2.06%"
"05/02/2023","543.2693","560.1074","562.6739","542.4005","","-3.01%"
"05/01/2023","560.1074","564.9675","564.9675","555.2326","","-0.86%"
"04/28/2023","564.9676","556.2612","565.6431","552.0370","","1.57%"
"04/27/2023","556.2612","556.9399","558.6259","553.0093","","-0.12%"
"04/26/2023","556.9400","567.9559","571.7266","556.3528","","-1.94%"
"04/25/2023","567.9560","577.5799","578.8830","565.1414","","-1.67%"
"04/24/2023","577.5799","573.9020","579.0119","568.5344","","0.64%"
"04/21/2023","573.9020","574.2980","577.2280","570.6390","","-0.07%"
"04/20/2023","574.2980","583.6633","583.6633","571.9780","","-1.60%"
"04/19/2023","583.6633","593.1642","593.7433","581.3746","","-1.60%"
"04/18/2023","593.1642","591.3876","595.3475","587.8939","","0.30%"
"04/17/2023","591.3877","594.8995","595.7371","588.8184","","-0.59%"
"04/14/2023","594.8995","593.2164","597.0966","590.6030","","0.20%"
"04/13/2023","593.7161","597.0659","599.2268","593.7161","","-0.67%"
"04/12/2023","597.7346","591.5231","598.6702","590.0878","","0.96%"
"04/11/2023","592.0267","586.5349","592.5790","584.7380","","0.87%"
"04/10/2023","586.9233","588.2389","591.1854","584.9135","","-0.30%"
"04/06/2023","588.6879","590.1478","591.9416","585.9784","","-0.25%"
"04/05/2023","590.1478","588.3466","591.1072","586.0989","","0.31%"
"04/04/2023","588.3467","589.8492","593.3766","584.1259","","-0.25%"
"04/03/2023","589.8492","574.0241","594.6016","574.0241","","2.76%"
"03/31/2023","574.0241","566.6461","574.0241","563.0626","","1.30%"
"03/30/2023","566.6462","563.2200","567.4142","560.7308","","0.61%"
"03/29/2023","563.2200","565.8347","570.3499","561.9751","","-0.46%"
"03/28/2023","565.8347","562.6209","568.2638","561.3728","","0.57%"
"03/27/2023","562.6209","549.3752","563.4631","547.9226","","2.41%"
"03/24/2023","549.3752","550.1597","552.7052","538.5050","","-0.14%"
"03/23/2023","550.1598","552.4557","557.1298","547.5651","","-0.42%"
"03/22/2023","552.4558","548.2758","553.8913","544.8332","","0.76%"
"03/21/2023","548.2758","543.4516","549.7260","539.2786","","0.89%"
"03/20/2023","543.4516","541.7317","544.9362","529.7278","","0.34%"
"03/17/2023","541.6216","545.2563","553.3309","534.8636","","-0.67%"
"03/16/2023","545.2564","545.4451","548.2555","533.7280","","0.85%"
"03/15/2023","540.6648","559.7883","564.2581","533.5711","","-3.42%"
